sample_id,dataset,meta_fields_present,meta_missing,completeness_pct,null_pct_per_field,tissue_values,anomalies,meta_flag
PB_32,GSE133028,tissue;condition,patient;donor;celltype;dataset;sample,28.6,"{""tissue"": 0.0, ""condition"": 0.0}",PBMC,nonstandard_tissue_label(PBMC);no_celltype_annotation,WARN
PB_6,GSE133028,tissue;condition,patient;donor;celltype;dataset;sample,28.6,"{""tissue"": 0.0, ""condition"": 0.0}",CSF,tissue_obs=CSF_vs_filename=PB;no_celltype_annotation,FAIL
PB_7,GSE133028,tissue;condition,patient;donor;celltype;dataset;sample,28.6,"{""tissue"": 0.0, ""condition"": 0.0}",CSF,tissue_obs=CSF_vs_filename=PB;no_celltype_annotation,FAIL
PB_8,GSE133028,tissue;condition,patient;donor;celltype;dataset;sample,28.6,"{""tissue"": 0.0, ""condition"": 0.0}",CSF,tissue_obs=CSF_vs_filename=PB;no_celltype_annotation,FAIL
PB_9,GSE133028,tissue;condition,patient;donor;celltype;dataset;sample,28.6,"{""tissue"": 0.0, ""condition"": 0.0}",PB,no_celltype_annotation,WARN
MS19270_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
MS19270_PB,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",PB,no_celltype_annotation,WARN
MS49131_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
MS49131_PB,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",PB,no_celltype_annotation,WARN
MS58637_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
MS60249_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
MS60249_PB,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",PB,no_celltype_annotation,WARN
MS71658_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
MS71658_PB,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",PB,no_celltype_annotation,WARN
MS74594_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
MS74594_PB,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",PB,no_celltype_annotation,WARN
PST45044_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
PST83775_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
PST83775_PB,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",PB,no_celltype_annotation,WARN
PST95809_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
PST95809_PB,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",PB,no_celltype_annotation,WARN
PTC32190_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
PTC32190_PB,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",PB,no_celltype_annotation,WARN
PTC41540_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
PTC41540_PB,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",PB,no_celltype_annotation,WARN
PTC85037_CSF,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",CSF,no_celltype_annotation,WARN
PTC85037_PB,GSE138266,patient;donor;tissue;condition;dataset;sample,celltype,85.7,"{""patient"": 0.0, ""donor"": 0.0, ""tissue"": 0.0, ""condition"": 0.0, ""dataset"": 0.0, ""sample"": 0.0}",PB,no_celltype_annotation,WARN
GSE239626_global,GSE239626,sample,patient;donor;tissue;condition;celltype;dataset,14.3,"{""sample"": 0.0}",,no_tissue_column;no_celltype_annotation;no_condition_column,FAIL
